Qty,Component,Buy
1,555,AliExpress
2,3KΩ Resistor,AliExpress
4,10KΩ Resistor,AliExpress
1,1MΩ Potentiometer,AliExpress
1,IN4004 Diode,AliExpress
2,Tactile Switch,AliExpress
2,5mm LED,AliExpress
2,100uF Capacitor,AliExpress
2,0.1uF (100nF) Capacitor,AliExpress
1,2 Pin Screw Terminal,AliExpress
1,3 Pin Screw Terminal,AliExpress
1,12VDC Relay,AliExpress
1,12VDC Adapter,AliExpress
1,SPDT Slide Switch,AliExpress
1,PCB,AliExpress
,,
,Tools,Buy
,Soldering Iron,AliExpress
,Soldering Wire,AliExpress
,Mini PCB Hand Drill + Bits,AliExpress
,Wire Cutter,AliExpress
,Wire Stripper,AliExpress
,Soldering Helping Hands,AliExpress